Titulo,Autor,Resumen,Etiquetas,Advertencias,Enlace,Coleccion,Palabras,Capitulos,Kudos
"The Morning Will Come (and the dream stealing your sleep will end)","Winterturtle","After a tragic incident, Peter Parker is left orphaned for the second time in his life. With no one else to take him in, Peter decided not to take his chance on foster care. Living in an abandoned building and the crows as his only company, the young hero is doing his best to maintain the illusion of a happy kid in front of Mr. Stark - one of the two remaining links to his past, happier life.Look, technically, Peter wasn’t lying. It was just that Mr. Stark has never asked specifically.","Marvel Cinematic Universe, Iron Man (Movies), Spider-Man (Tom Holland Movies), Creator Chose Not To Use Archive Warnings, Peter Parker & Tony Stark, Ben Parker & May Parker (past), Peter Parker, Tony Stark, Pepper Potts, Happy Hogan, Homeless Peter Parker, Touch-Starved Peter Parker, Peter Parker Needs a Hug, Peter Parker is a Mess, Hurt Peter Parker, Tony Stark Has a Heart, Tony Stark Feels, Whump, Peter Parker Whump, Starvation","Choose Not To Use Archive WarningsCreator Chose Not To Use Archive Warnings","https://archiveofourown.org/collections/spiderman_fics__1/works/35747962","spiderman_fics__1","12,176","3/3","2,793"
"it's always who is spider-man, never how is spider-man","i_regret_thatpersonalityquiz","""Stay?""Peter finally looked down to see Harley Fucking Keener, Iron Lad, the boy who had caused his shoulder to be throbbing in pain all night, looking away with a slight tint to his cheeks. Peter opened and closed his mouth, no sound coming out.And he sat back down. OR: Peter had been living on the streets, dealing with your average homeless vigilante stuff. Things got a bit more complicated when the Avengers started to chase him down.","Marvel Cinematic Universe, Spider-Man (Tom Holland Movies), Daredevil (TV), Creator Chose Not To Use Archive Warnings, Harley Keener/Peter Parker, Harley Keener & Peter Parker, Matt Murdock & Peter Parker, Peter Parker & Natasha Romanov, Peter Parker & Tony Stark, Wanda Maximoff & Peter Parker, Peter Parker & Everyone, Wanda Maximoff/Vision, Pepper Potts/Tony Stark, Peter Parker, Harley Keener, Tony Stark, Wanda Maximoff, Matt Murdock, Natasha Romanov (Marvel), Sam Wilson (Marvel)","Choose Not To Use Archive WarningsCreator Chose Not To Use Archive Warnings","https://archiveofourown.org/collections/spiderman_fics__1/works/28696380","spiderman_fics__1","176,354","40/40","16,406"
"Spider-Man Reads Thirst Tweets | Buzzfeed Celeb","Jenniboo311","""Hi, I'm your friendly neighbourhood Spider-Man!"" He salutes the camera with two fingers, sitting at a table in his signature mask, a simple dark green t-shirt, and jeans in front of a light blue set. ""I'm here to read your thirst-fueled tweets and irreparably harm my wholesome image.""","Spider-Man - All Media Types, Spider-Man (Tom Holland Movies), The Avengers (Marvel Movies), The Avengers (Marvel) - All Media Types, No Archive Warnings Apply, Peter Parker & Avengers Team, Peter Parker, Humor, Interviews, Social Media, YouTube, Internet, Buzzfeed, Twitter, Thirst Tweets, Aged-Up Peter Parker, Not Avengers: Endgame (Movie) Compliant, Not Spider-Man: Far From Home Compliant, Explicit Language, Sexual Humor","No Archive Warnings ApplyNo Archive Warnings Apply","https://archiveofourown.org/collections/spiderman_fics__1/works/20775911","spiderman_fics__1","2,412","2/2","3,262"
"Not a Damsel","beforethemoon","Peter does not appreciate being kidnapped. Unfortunately, thanks to a paparazzi photo, the world thinks he's dating Johnny Storm, and the villainous population of New York has its eyes set on Peter Parker. It would be easier to dispel the rumors and put the whole thing to rest if Johnny Storm didn't love coming to his rescue so much....Or, Peter Parker is kidnapped too many times to count, and Johnny kind of likes the photographer who can never stay out of danger's path.","Spider-Man - All Media Types, Fantastic Four, Marvel, Graphic Depictions Of Violence, Peter Parker/Johnny Storm, Reed Richards/Susan Storm (Fantastic Four), May Parker (Spider-Man) & Peter Parker, Johnny Storm & May Parker, Ben Grimm & Reed Richards & Johnny Storm & Susan Storm, Peter Parker, Johnny Storm, Reed Richards, Susan Storm (Fantastic Four), Ben Grimm, May Parker (Spider-Man), Otto Octavius, Kidnapping, Kidnapped Peter Parker, Kidnapped Johnny Storm, Awesome May Parker (Spider-Man)","Graphic Depictions Of ViolenceGraphic Depictions Of Violence","https://archiveofourown.org/collections/spiderman_fics__1/works/36112879","spiderman_fics__1","18,989","1/1","4,547"
"The Amazing Spider-Chat","premeditated","peter 1: heyyyyy real quick on a scale of 1 to 10 how stupid would be to do stitches with dental floss????//peter 1: asking for a friemdpeter 2: Please tell me this isn’t time-sensitive.peter 3: Like a 4-Peter starts a multi-dimensional group chat with his alternate universe selves because he needs someone to rely on and they’re both happy to oblige. Along the way, his newly empty world slowly fills back up with new and old faces, one person at a time.","Marvel Cinematic Universe, Spider-Man - All Media Types, Spider-Man (Tom Holland Movies), The Amazing Spider-Man (Movies - Webb), Spider-Man (Movies - Raimi), No Archive Warnings Apply, Peter Parker & Peter Parker & Peter Parker, Matt Murdock & Peter Parker, Michelle Jones/Peter Parker, Peter Parker/Gwen Stacy, Peter Parker/Johnny Storm, Peter Parker, Matt Murdock, Gwen Stacy, Spider-Man: No Way Home (Movie), Spider-Man: No Way Home (Movie) Spoilers, Spider-Man: No Way Home (Movie) Compliant, Texting, Chatting & Messaging, Humor","No Archive Warnings ApplyNo Archive Warnings Apply","https://archiveofourown.org/collections/spiderman_fics__1/works/36059356","spiderman_fics__1","6,991","1/1","3,529"
"Undeniable Proof That Peter B. Parker Is An Angel","Ace_Of_Spades7","[No spoilers for Spider-Man: No Way Home]After Peter's identity is revealed to the world, he does what anyone would do and holes up in his apartment. A few days into isolation, however, he receives a link to a YouTube compilation about himself. Will this finally change the public's view on their number one enemy: Spider-Man?","Spider-Man (Tom Holland Movies), Marvel Cinematic Universe, No Archive Warnings Apply, Peter Parker & Tony Stark, Michelle Jones & Ned Leeds & Peter Parker, May Parker (Spider-Man) & Peter Parker, Peter Parker, Ned Leeds, Michelle Jones, May Parker (Spider-Man), Happy Hogan, Tony Stark, Karen (Spider-Man: Homecoming), Quentin Beck, Nick Fury, Maria Hill, Stephen Strange, Sam Wilson (Marvel), James ""Bucky"" Barnes, Steve Rogers","No Archive Warnings ApplyNo Archive Warnings Apply","https://archiveofourown.org/collections/spiderman_fics__1/works/35987914","spiderman_fics__1","16,366","1/1","2,207"
"Universal Constants","bluesweatshirt","“You know,” Strange tells him. “There is another universe.”***Story contains NWH spoilers.","Marvel Cinematic Universe, Spider-Man - All Media Types, Spider-Man (Tom Holland Movies), No Archive Warnings Apply, Peter Parker & Tony Stark, Peter Parker & Morgan Stark (Marvel Cinematic Universe), Pepper Potts/Tony Stark, Peter Parker, Tony Stark, Morgan Stark (Marvel Cinematic Universe), May Parker (Spider-Man), Happy Hogan, James ""Rhodey"" Rhodes, Steve Rogers, Natasha Romanov (Marvel), Quentin Beck, Stephen Strange, Spider-Man: No Way Home (Movie) Spoilers, Tony Stark Acting as Peter Parker's Parental Figure, Peter Parker Needs a Hug","No Archive Warnings ApplyNo Archive Warnings Apply","https://archiveofourown.org/collections/spiderman_fics__1/works/35904133","spiderman_fics__1","17,270","1/1","4,960"
"Peter Parker's home for wayward people and animals","Bergen","Peter Parker. 16 years old. Recently emancipated from the foster system and moved into the dingy villa his deceased parents left him. Which apparently means he has to deal with various stray animals and human beings who keep choosing his house as their refuge. He is so unprepared for this shit.And then stupid Tony Stark randomly decides to insert himself into Peter’s life, with his dad-sweaters and his boo-boo fixing and his casseroles.He thinks Peter’s parents are just out of town on a business trip. Peter is in no mood to correct him.","Marvel Cinematic Universe, Spider-Man (Tom Holland Movies), No Archive Warnings Apply, Peter Parker & Tony Stark, Peter Parker, Tony Stark, Past Child Abuse, past trauma, Very brief references to sexual assault, Peter Parker Has Issues, Peter Parker is a Little Shit, with a big mouth, The teen rating is for coarse language and swearing, Tony Stark Has a Heart, Parent Tony Stark","No Archive Warnings ApplyNo Archive Warnings Apply","https://archiveofourown.org/collections/spiderman_fics__1/works/35604706","spiderman_fics__1","28,845","5/5","6,663"
"Sharp (web) shooter","WibWoby","Noir teaches Peter how to use a gun, and Peter subsequently uses this knowledge to short circuit his other mentors' brains.Or; Peter has a gun, knows how to use it, and is damn good at it.","Marvel Cinematic Universe, Spider-Man - All Media Types, Spider-Man (Tom Holland Movies), Spider-Man: Into the Spider-Verse (2018), No Archive Warnings Apply, Peter Parker & Wade Wilson, Peter Parker & Noir, Matt Murdock & Peter Parker & Wade Wilson, Matt Murdock & Peter Parker, Frank Castle & Peter Parker, Peter Parker & Danny Rand, Jessica Jones & Peter Parker, Luke Cage & Peter Parker, Peter Parker & Peter Parker, Peter Parker, Wade Wilson, Matt Murdock, Frank Castle, Jessica Jones, Danny Rand","No Archive Warnings ApplyNo Archive Warnings Apply","https://archiveofourown.org/collections/spiderman_fics__1/works/34913986","spiderman_fics__1","5,467","3/3","7,864"
"Hot Ones: Spider-Man Tries Not to Spill His Secrets While Eating Hot Wings","Jenniboo311","Sean laughs and continues as he opens the bottle and dabs a little on his wing, ""Now Spidey, this is called 'the last dab', as you know. For the viewers at home, it's called 'the last dab' because it's tradition around here to put a little extra on the last wing, but you don't have to, we won't judge if you can't handle it.""Spider-Man doesn't hesitate, ""Yes you will. You'll totally judge. Hit me!"" and holds out his hand for the bottle.Sean laughs as Spider-Man dabs extra on his wing and agrees, ""I mean yeah, we totally would.""Spider-Man takes a deep breath and tries to gather his courage. ""God, I'd rather get yeeted into the Hudson again. At least I'd stop sweating.""","Spider-Man - All Media Types, Spider-Man: Homecoming (2017), The Avengers (Marvel Movies), The Avengers (Marvel) - All Media Types, No Archive Warnings Apply, Peter Parker & Tony Stark, Peter Parker & Avengers Team, Peter Parker, Tony Stark, Happy Hogan, First We Feast, hot ones, Sean Evans - Freeform, Interview, YouTube, Video, Profanity, vague mentions of mature content, Secret Identity, Not Avengers: Endgame (Movie) Compliant","No Archive Warnings ApplyNo Archive Warnings Apply","https://archiveofourown.org/collections/spiderman_fics__1/works/18644800","spiderman_fics__1","17,712","4/4","4,005"
"Welcome to... uh, wait? My home?!","Wonderwhale","Peter's life had never been normal, but this was getting out of hand. Not only was he going to be stuck having a sleepover in a form of a field trip with his decathlon team, no... he was stuck having a sleepover in the very same tower he lived in with his family. Without his decathlon team knowing he lived there. Being the secret son of one of the world's most influential couples and, by that, the heir to the company they ran wasn't easy. Ever.","Marvel Cinematic Universe, Spider-Man - All Media Types, No Archive Warnings Apply, Harley Keener/Peter Parker, Peter Parker & Tony Stark, Pepper Potts/Tony Stark, Peter Parker & Shuri, Ned Leeds & Peter Parker, Michelle Jones & Peter Parker, Minor Bruce Banner/Thor - Relationship, Loki & Stephen Strange, Peter Parker, Tony Stark, Pepper Potts, Harley Keener, Ned Leeds, Michelle Jones, Shuri (Marvel), Flash Thompson, Academic Decathlon Team (Spider-Man: Homecoming)","No Archive Warnings ApplyNo Archive Warnings Apply","https://archiveofourown.org/collections/spiderman_fics__1/works/26321947","spiderman_fics__1","33,175","19/19","4,526"
"A normal afternoon for once? No?","Shadowgay","They´re not ten steps further when Loki starts to glow.“Uhm Loki, what are you doing?” Peter asks worriedly, glancing around to make sure no one has noticed yet.“I´m not doing anything, this isn´t me!” Loki exclaims, batting at his suit as if trying to rid it of the growing light by sheer force.“Wh-what do I do?” Peter cries out as Loki starts to levitate, gently rising above the pavement. Peter grabs a hold of Loki´s arm and tries to pull him down.“No, we don´t know what this is Spiderling, don´t risk your safety!” Loki protests.“I am not letting you go!” Peter cries. Or Peter and Loki finally find the time to catch up on earth but as fate has it, they just can´t get a normal afternoon off, can they? When they are pulled to the mysterious planet of Sakaar, Loki is confronted with his past and he and Peter must fight to survive the trials that face them there. Part of a series, I would recommend reading at least the first part but if you´re just here for the Loki and Peter fluff, I guess you don´t have to?","Marvel Cinematic Universe, No Archive Warnings Apply, Loki & Peter Parker, En Dwi Gast | Grandmaster & Loki, Avengers Team & Peter Parker, Loki (Marvel), Peter Parker, En Dwi Gast | Grandmaster, Kang the Conqueror, Captain Marvel, Tony Stark, Thor (Marvel), Steve Rogers, James ""Bucky"" Barnes, Canon-Typical Violence, Some Humor, Peter Parker is a Little Shit, Protective Loki (Marvel), Sakaar (Marvel), Let´s be honest Loki and the Grandmaster had something going on","No Archive Warnings ApplyNo Archive Warnings Apply","https://archiveofourown.org/collections/spiderman_fics__1/works/34777228","spiderman_fics__1","7,157","1/1","140"
"You Can Rest Now","dragonlxxrd","The very last thing Peter expected to happen in his AP Physics class was for everyone's phones to start buzzing like crazy. His own phone was victim to the assault, and he pulled it out of his pocket to see what could possibly be so important and- Oh no. Oh no. No no no. There, on his phone, was a breaking news alert about him, Peter Parker, fighting with the Avengers. Oh no.  Or: Peter had somehow recorded the fight with Thanos and it somehow got released to the public.","Spider-Man (Tom Holland Movies), The Avengers (Marvel Movies), Marvel Cinematic Universe, Major Character Death, Peter Parker & Tony Stark, Peter Parker, Tony Stark, Thanos (Marvel), Avengers: Endgame (Movie), Peter Parker Needs a Hug, Hurt Tony Stark, Angst, Thanos can shove a stick up his butt for all I care, this is slightly different than endgame, And by slightly I mean Peter has more lines, irondad and spideyson, IronDad and SpiderSon, Identity Reveal, Irondad","Major Character DeathMajor Character Death","https://archiveofourown.org/collections/spiderman_fics__1/works/34752322","spiderman_fics__1","1,552","1/1","1,265"
"Trouble on Asgard","Shadowgay","“To space?! Peter that´s way too dangerous!”“It´s not space, exactly… it´s the kingdom of Asgard, the floaty rock thing…And it´s not like I´ll be alone! Thor is going with me.”May eyes him, considering his proposition. “I couldn´t stop you if I tried, could I?”Peter smiles innocently and shakes his head.ORPeter finally gets to see Loki again and this time he visits him on Asgard. Things aren´t as perfect as they seem though and he´s caught right in the middle of a coup. With Thor missing, it´s up to Peter to help Loki and save the monarchy. But is Loki still on his side?","Marvel Cinematic Universe, No Archive Warnings Apply, Loki & Peter Parker, May Parker (Spider-Man) & Peter Parker, Peter Parker & Tony Stark, James ""Bucky"" Barnes & Peter Parker & Steve Rogers, Peter Parker, May Parker (Spider-Man), Tony Stark, Happy Hogan, Steve Rogers, James ""Bucky"" Barnes, Sif (Marvel), Thor (Marvel), Loki (Marvel), Heimdall (Marvel), Natasha Romanov (Marvel), Disabled Peter Parker, Tony Stark Is a Good Bro, Reunions","No Archive Warnings ApplyNo Archive Warnings Apply","https://archiveofourown.org/collections/spiderman_fics__1/works/34579576","spiderman_fics__1","10,430","2/2","166"
"Time Skips, Balloon Hits","emmacortana","Some scrappy kid starts showing up at Jason's third favourite bar, and it's not like he can just ignore him.In which Jessica Jones is a whiskey aunt, Matt Murdock is a human disaster, Frank Castle does what he wants, and Peter is the annoying kid brother they all have to deal with. And Jason Todd accidentally emotionally adopts Peter, and consequently is adopted by the local Defenders.","Marvel Cinematic Universe, Marvel, DCU, Spider-Man - All Media Types, Spider-Man (Tom Holland Movies), The Defenders (Marvel TV), Batman - All Media Types, No Archive Warnings Apply, Peter Parker & Jason Todd, Matt Murdock & Peter Parker, Jessica Jones & Peter Parker, Frank Castle & Peter Parker, Jason Todd & Bruce Wayne, Jason Todd, Peter Parker, Matt Murdock, Jessica Jones, Frank Castle, Bruce Wayne, Peter Parker is a Mess","No Archive Warnings ApplyNo Archive Warnings Apply","https://archiveofourown.org/collections/spiderman_fics__1/works/33412279","spiderman_fics__1","18,307","3/4","8,620"
"Life as a coconut","Bergen","An unknown spider-mutate helps a murder-convict escape from prison. The Avengers assemble. All with terribly inconvenient timing to recently dumped Tony Stark, who would much rather sit around in his bathrobe and feel sorry for himself. Instead, he needs to pull himself together enough to catch both the escaped convict and the Spider-Man, and figure out the truth behind the accusations.Before he knows it, he is far, far more involved in this case than he ever expected to be.The convict’s name: May Parker.","The Avengers (Marvel Movies), Marvel Cinematic Universe, Spider-Man (Tom Holland Movies), No Archive Warnings Apply, Peter Parker & Tony Stark, Pepper Potts/Tony Stark, Peter Parker, Tony Stark, May Parker (Spider-Man), Natasha Romanov (Marvel), Steve Rogers, Other Avengers, BAMF May Parker (Spider-Man), Peter tries to be a BAMF too but he's actually a marshmallow, Human Experimentation, Identity Reveal, Steve Rogers Is a Good Bro, Tony Stark Is a Mess, Self-Destructive Behavior, Grief/Mourning","No Archive Warnings ApplyNo Archive Warnings Apply","https://archiveofourown.org/collections/spiderman_fics__1/works/33045991","spiderman_fics__1","107,550","15/15","3,076"
"Woah, Is That THE Bruce Banner?!","brbanner (huffelthepuff)","Peter’s kind of tired from last night’s patrol so he takes up an offer from JARVIS, asking if he wanted to rest.And this was the fanciest apartment he’s ever seen, holy shit-  Wait- what are The Avengers doing here?!","The Amazing Spider-Man (Movies - Webb), Marvel Cinematic Universe, The Avengers (Marvel Movies), No Archive Warnings Apply, Avengers Team & Peter Parker, Bruce Banner/Thor, - implied, Peter Parker, Tony Stark, Bruce Banner, Natasha Romanov (Marvel), Clint Barton, Thor (Marvel), Wanda Maximoff, Vision (Marvel), Sam Wilson (Marvel), Jarvis (Iron Man movies), James ""Rhodey"" Rhodes, James ""Bucky"" Barnes, Precious Peter Parker","No Archive Warnings ApplyNo Archive Warnings Apply","https://archiveofourown.org/collections/spiderman_fics__1/works/33583570","spiderman_fics__1","2,243","1/1","2,811"
"The Many Times Peter Parker Shocked Midtown","WreckItRiley","And The One Time He Didn't","Spider-Man (Tom Holland Movies), Marvel Cinematic Universe, The Avengers (Marvel Movies), Creator Chose Not To Use Archive Warnings, Peter Parker, Ned Leeds, Tony Stark, Bruce Banner, Thor (Marvel), Natasha Romanov (Marvel), Clint Barton, Pepper Potts, Steve Rogers, James ""Bucky"" Barnes, James ""Rhodey"" Rhodes, Wanda Maximoff, Vision (Marvel), Michelle Jones, Midtown Students, Original Characters","Choose Not To Use Archive WarningsCreator Chose Not To Use Archive Warnings","https://archiveofourown.org/collections/spiderman_fics__1/works/33221779","spiderman_fics__1","14,196","8/8","4,931"
"Thanks, Dad!","Eva_Mw","‘’Hey, Tony! Have you seen my charger?’’ Peter walked into the living room only to freeze on his track the moment he entered.There stood the rouge avengers, staring at Peter Parker who was eating a cold leftover slice of pizza. The superheroes looked just as puzzled as Peter was feeling.  Or me at three am going, 'you know what's better than one popular trope? Two popular tropes.'A Peter 'Parker meets the Avengers' and a 'Peter Parker goes on a field trip to SI' fic.","Marvel Cinematic Universe, Marvel, Spider-Man - All Media Types, Spider-Man (Tom Holland Movies), Spider-Man: Homecoming (2017), No Archive Warnings Apply, Peter Parker & Tony Stark, Peter Parker & Pepper Potts, Michelle Jones/Peter Parker, Peter Parker & Steve Rogers, Peter Parker & Natasha Romanov, Happy Hogan & Peter Parker, Peter Parker & Sam Wilson, May Parker (Spider-Man) & Peter Parker, Peter Parker & James ""Rhodey"" Rhodes, James ""Bucky"" Barnes & Peter Parker, Clint Barton & Peter Parker, Ned Leeds & Peter Parker, Scott Lang & Peter Parker, James ""Bucky"" Barnes/Steve Rogers","No Archive Warnings ApplyNo Archive Warnings Apply","https://archiveofourown.org/collections/spiderman_fics__1/works/32221927","spiderman_fics__1","18,353","6/6","17,274"
"Ineffable","gelation","Turning to look at the area, road wrecked to high hell, Spider-man said simply, ""I did what I had to do."" Brian stills for a moment, shivers running down his spine making him shudder slightly, blood turning cold despite the summer heat. How simple. Do what you have to do.Brian didn't know it yet. But, he was looking at the future of heroics.Or, at least, that's what everyone watching the livestream felt.Instead, he lets his lips tug into a wry, helpless smile. How simple a reason, yet… how complex underneath. ""Gotcha.""or: the aftermath of aegis as seen through social media among other things","Marvel Cinematic Universe, Spider-Man (Tom Holland Movies), No Archive Warnings Apply, Peter Parker & Tony Stark, Peter Parker & Steve Rogers, Peter Parker & New York, Peter Parker/New York, Peter Parker, Tony Stark, Steve Rogers, Sam Wilson, Natasha Romanoff, Original Characters, People of New York, new york city - Character, New York - Character, Social Media, overpowered spider-man, Peter Parker is a Little Shit, Powerful Peter Parker","No Archive Warnings ApplyNo Archive Warnings Apply","https://archiveofourown.org/collections/spiderman_fics__1/works/33114856","spiderman_fics__1","2,340","1/1","4,014"
"It Started With a Headache but Ended With the Multiverse","kingdomfaraway","“I think I know what’s going on.”“Okay,” Tony said a little slowly.“I think I’m traveling to another universe.”There was a long silence that stretched across the room, the only sound coming from the faint drip of the IV in Peter’s arm, the whirl of the A/C in the vents. “Pete,” Tony said, his hand reaching out for Peter’s ankle. “That’s… well, I mean I’ve seen a lot of things in my life but that doesn’t sound... plausible.”(or Peter Parker’s Not So Fun Adventures In The Multiverse)","Marvel Cinematic Universe, Spider-Man (Tom Holland Movies), Spider-Man - All Media Types, No Archive Warnings Apply, Peter Parker & Tony Stark, Peter Parker & Ned Leeds, Peter Parker & May Parker, Peter Parker, Tony Stark, Ned Leeds, May Parker, Stephen Strange, Wanda Maximoff, Bruce Banner, Multiverse, Hurt/Comfort, Dreams, Seizures, Light Angst, Humor","No Archive Warnings ApplyNo Archive Warnings Apply","https://archiveofourown.org/collections/spiderman_fics__1/works/31565366","spiderman_fics__1","62,662","12/12","778"
"The Distance Between (You and Me)","Sarah_Sandwich","When Pepper offered to begin training him to become CEO  of Stark Industries, she warned Harley it would put a target on his back. He didn't take her seriously until after he'd been left chained and shivering in a dark hole for three days.Rescued but with his kidnappers still at large, Tony recruits a  bodyguard to shadow his every step and keep him safe until Tasha can hunt down his kidnappers. Harley isn't impressed. If he wasn't already at his wit's end muscling through nightmares, dissociative episodes, and pretending like he's handling everything like a champ then maybe he'd be able to figure out what exactly makes Peter Parker so special.","Spider-Man (Tom Holland Movies), No Archive Warnings Apply, Harley Keener/Peter Parker, Harley Keener, Peter Parker, Harley Keener-centric, Harley Keener Needs a Hug, Hurt Harley Keener, Confident Peter Parker, Stubborn Peter Parker, Alternate Universe - Bodyguard, Protective Peter Parker, Peter Parker is a Little Shit, Harley Keener is a reflection of the writer's mental health, don't read into it tho, Bickering, bickering as a love language, Not Canon Compliant, Kidnapping, Post-Traumatic Stress Disorder - PTSD","No Archive Warnings ApplyNo Archive Warnings Apply","https://archiveofourown.org/collections/spiderman_fics__1/works/32439247","spiderman_fics__1","29,270","5/5","1,552"
"Peter Parker: Therapist Extraordinaire","sakurasprigs","Steve looked up, expecting to see his friend’s exhausted face, but instead found him positively grinning with a small paper lunch sack in his hand.“You seem awfully happy,” said Steve in lieu of a greeting.Natasha and Bucky chose that moment to enter the common room as well, wearing sweaty gym clothes and with messed-up hair. “Hey Sam,” said Natasha. “How terrible was the kid?” “I take everything back I ever said.” Sam unrolled the top of the lunch sack and showed them its contents. “He brought cookies! You’ve gotta try one, they’re literally the best things I’ve ever tasted in my life.” Aka, the fic in which Peter volunteers at the VA with Sam, who ends up practically adopting him and tells the whole team, making them all want to meet the fabled kid. Turns out, he might be a lot more familiar than they thought.","Marvel Cinematic Universe, The Avengers (Marvel Movies), The Avengers (Marvel) - All Media Types, Spider-Man (Tom Holland Movies), No Archive Warnings Apply, Peter Parker & Sam Wilson, Peter Parker & Tony Stark, Avengers Team & Peter Parker, Steve Rogers & Sam Wilson, Natasha Romanov & Sam Wilson, James ""Bucky"" Barnes & Sam Wilson, Clint Barton & Sam Wilson, Avengers Team & Sam Wilson, Sam Wilson (Marvel), Peter Parker, Steve Rogers, Natasha Romanov (Marvel), James ""Bucky"" Barnes, Tony Stark, Clint Barton","No Archive Warnings ApplyNo Archive Warnings Apply","https://archiveofourown.org/collections/spiderman_fics__1/works/32824939","spiderman_fics__1","4,377","1/1","9,023"
"Aegis","gelation","For the first time in two years, captured through cameras and preserved for the rest of time, Spider-man didn't pull his punches. He didn't calculate his strength.Spider-man let loose. He was going 100%.And as he did, the world goes quiet.Or: how it finally hammered home for Steve that saving the people was just as important as saving the worldThough I recommend reading the first two parts, What it takes (to be a hero) and Making of a hero for a backstory, this can be read as a standalone.","Marvel Cinematic Universe, Spider-Man (Tom Holland Movies), Graphic Depictions Of Violence, Peter Parker & Tony Stark, Peter Parker & Steve Rogers, Peter Parker & New York, Avengers Team & Peter Parker, Peter Parker/New York, Peter Parker, Tony Stark, (mentioned), Steve Rogers, New York - Character, Avengers Team, Overpowered Peter Parker, there's a fight, but you know me, I can't write fights for shit, so it isn't too graphic, Canon-Typical Violence","Graphic Depictions Of ViolenceGraphic Depictions Of Violence","https://archiveofourown.org/collections/spiderman_fics__1/works/32597932","spiderman_fics__1","2,913","1/1","8,843"
"The Peter Parker Rulebook for Dummies","gelation","Dropping the books on the table, Tony sighed, ""Okay, pass these around. They are important.""Flipping through his copy, Sam's head was filled with questions. What the fuck? ""Tony, what is this?""Waving a hand, Tony turns to the hologram presenting the words, 'Peter Parker Rulebook for dummies'. He said, ""What is says on the tin. Pepper and I are leaving in a few minutes and Happy and May are off frolicking and doing things that I refuse to think about. As such, you, the Avengers, will be tasked with the important mission of handling Peter Parker.""or: Tony Stark has a guidebook to Peter Parker. Here are the first 100 rules.","Marvel Cinematic Universe, Spider-Man (Tom Holland Movies), No Archive Warnings Apply, Happy Hogan/May Parker (Spider-Man), Pepper Potts/Tony Stark, Tony Stark & Peter Parker, Peter Parker & T'Challa, Peter Parker & Shuri, Peter Parker & Michelle Jones, Peter Parker & Ned Leeds, Peter Parker & Sam Wilson, Peter Parker & Stephen Strange, Peter Parker & Wong, Peter Parker & Harley Keener, Peter Parker & Guardians of the Galaxy Team, Peter Parker & Loki, Peter Parker & Thor, Peter Parker, Tony Stark, Sam Wilson","No Archive Warnings ApplyNo Archive Warnings Apply","https://archiveofourown.org/collections/spiderman_fics__1/works/32555563","spiderman_fics__1","4,487","1/1","8,229"
"14,000,606","Herrin26","There were 14,000,605 outcomes of the Infinity War with only one where the good guys won.But what if there was one more just after Strange stopped?With the fate of the universe at stake Peter held true to the words he lived by.""With great power comes great responsibility.""AU where Peter takes the stones, dust Thanos, and Tony has to live with someone else sacrificing themselves for him.","Spider-Man (Tom Holland Movies), The Avengers (Marvel Movies), Graphic Depictions Of Violence, No Archive Warnings Apply, Michelle Jones/Peter Parker, Peter Parker & Tony Stark, Pepper Potts/Tony Stark, May Parker (Spider-Man) & Peter Parker, Ned Leeds & Peter Parker, Peter Parker & Morgan Stark (Marvel Cinematic Universe), Gamora/Peter Quill, Peter Parker & Shuri & T'Challa, Morgan Stark (Marvel Cinematic Universe) & Tony Stark, Peter Parker, Tony Stark, Pepper Potts, Michelle Jones, May Parker (Spider-Man), Steve Rogers, Bruce Banner","Graphic Depictions Of Violence, No Archive Warnings ApplyGraphic Depictions Of ViolenceNo Archive Warnings Apply","https://archiveofourown.org/collections/spiderman_fics__1/works/26203810","spiderman_fics__1","81,223","30/30","3,451"
"You Looked At Me Like I Was Someone Else  (Can't You See?)","HideHereWithMe","Crashing at Matt's results in the group finding out that their local blue and red vigilante has a girlfriend, MJ. A surprise, of course. After all they dont know shit about his life except the fact that he likes Wade's shitty jokes. There's one problem though, his girlfriend sounds........a little young, lets say. And well as we all know, nobody likes pedophiles.------------Btw, Peter is not a pedophile,  Jesus fucking Christ, no.","Spider-Man - All Media Types, Spider-Man (Tom Holland Movies), Marvel Cinematic Universe, Deadpool - All Media Types, Jessica Jones (TV), Daredevil (TV), Creator Chose Not To Use Archive Warnings, Michelle Jones/Peter Parker, Michelle Jones & Peter Parker, Peter Parker & Wade Wilson, Matt Murdock & Peter Parker, Jessica Jones & Peter Parker, Peter Parker, Michelle Jones, Wade Wilson, Jessica Jones, Matt Murdock, Luke Cage, Danny Rand, Misunderstandings","Choose Not To Use Archive WarningsCreator Chose Not To Use Archive Warnings","https://archiveofourown.org/collections/spiderman_fics__1/works/32267578","spiderman_fics__1","2,706","1/1","6,557"
