Titulo,Autor,Resumen,Etiquetas,Advertencias,Enlace
Death is an Art - I am an Artist,Narratiuncula,"On that fateful day, Regulus walked to his doom, fully expecting it. He did not expect to be reincarnated as Regulus di Angelo, Hades' son and older brother to Bianca and Nico.With the power of death at his fingertips, he might meet an even more horrible end than the one he experienced as Regulus Black. Nonetheless, to protect his siblings, Regulus would even fight Lady Magic herself.","Not Rated, Creator Chose Not To Use Archive Warnings, Harry Potter - J. K. Rowling, Percy Jackson and the Olympians - Rick Riordan, Percy Jackson and the Olympians & Related Fandoms - All Media Types, Maria di Angelo/Hades, Hades/Persephone (Percy Jackson), Maria di Angelo/Hades/Persephone, Maria di Angelo/Persephone, Regulus Black, Nico di Angelo, Bianca di Angelo, Maria di Angelo, Hades (Percy Jackson), Persephone (Percy Jackson), Original Characters, Percy Jackson, Annabeth Chase (Percy Jackson), Grover Underwood, Regulus Black Dies, Regulus Black Lives, Reincarnation, References to Ancient Greek Religion & Lore, Time Travel, Regulus Black-centric, Demigods, Powerful Regulus Black, Other Additional Tags to Be Added, Tags May Change, Protective Regulus Black, Necromancy, Good Parent Hades (Percy Jackson), Good Parent Persephone (Percy Jackson), Mentioned Death of the Endless, Powerful Nico di Angelo, Powerful Bianca di Angelo, Not Beta Read, Alternate Universe - Canon Divergence, Bianca di Angelo Lives, they deserve to be happy, Maria di Angelo Lives, Badass Maria di Angelo, I love her so she will live, Family Feels, Family Fluff",Advertencias no encontradas,https://archiveofourown.org/works/52231270
"December, 1983.",unspeakable3,"December, 1983.Voldemort has been defeated. Regulus has survived and is terribly, terribly in love.This is his happy ending.","Mature, No Archive Warnings Apply, F/M, Harry Potter - J. K. Rowling, Regulus Black/Original Female Character(s), Regulus Black & Kreacher, Orion Black & Regulus Black, Regulus Black & Walburga Black, Arcturus Black III | Sirius Black's Grandfather & Regulus Black, Regulus Black & Sirius Black, Regulus Black & Narcissa Black Malfoy, Regulus Black & Evan Rosier, Regulus Black & Lucius Malfoy, Regulus Black & Andromeda Black Tonks, Regulus Black, Original Female Character(s), Kreacher (Harry Potter), Orion Black, Walburga Black, Arcturus Black III | Sirius Black's Grandfather, Sirius Black, Narcissa Black Malfoy, Evan Rosier, Lucius Malfoy, Andromeda Black Tonks, Regulus Black-centric, Regulus Black Lives, POV Regulus Black, Regulus Black Feels, Morally Grey Regulus Black, but he's trying to do better, The Noble and Most Ancient House of Black, Black Family-centric (Harry Potter), Dysfunctional Black Family (Harry Potter), Alternate Universe - Canon Divergence, Post-First Wizarding War with Voldemort (Harry Potter), Second War with Voldemort Doesn't Happen (Harry Potter), Established Relationship, Christmas, Christmas Fluff, and a smattering of angst, Black Family Tapestry (Harry Potter), Family Secrets, Nightmares, Marriage Proposal, Azkaban, Advent Challenge",Advertencias no encontradas,https://archiveofourown.org/works/43366423
Título no encontrado,Autor no encontrado,Resumen no encontrado,Etiquetas no encontradas,Advertencias no encontradas,https://archiveofourown.org/works/38526742
Distractions,UndeadIdiot,"Beau Swan was a vampire, tired, and beaten down by the constant problems and threats that he’s had to deal with in his short time as one. He decides that it would be best to take a page out of his angel’s book, and go and find distractions, to make friends, and to see the world.And maybe he can find one that will distract him from the ones that left him behind.","Teen And Up Audiences, No Archive Warnings Apply, F/M, Life and Death - Stephenie Meyer, Twilight Series - All Media Types, Edythe Cullen/Beau Swan, Jules Black/Beau Swan, Beau Swan/ Alex, Beau Swan & Charlie Swan, Beau Swan & Original Female Character(s), Carine Cullen/Earnest Cullen, Jessamine Hale & Beau Swan, Eleanor Cullen/Royal Hale, Archie Cullen & Beau Swan, Archie Cullen/Jessamine Hale, Beau Swan, Edythe Cullen, Archie Cullen, Jessamine Hale, Royal Hale, Carine Cullen, Earnest Cullen, Tanvir, The Denali Clan, Lauren (Life and Death), Original Characters",Advertencias no encontradas,https://archiveofourown.org/works/59407363
The Right Thing To Do,LovesBitca8,"Hermione felt the pounding in her ears again. She would see him for the first time since the Great Hall, gaunt and stricken at the Slytherin table with his mother clutching his arm. She hadn't meant to look for him. Not in the corridors, not beneath the white sheets of the fallen, not on the way to the Chamber of Secrets with Ron, but she was a stupid girl.","Explicit, No Archive Warnings Apply, F/M, Harry Potter - J. K. Rowling, Hermione Granger/Draco Malfoy, Hermione Granger, Draco Malfoy, Harry Potter, Ginny Weasley, Narcissa Black Malfoy, Lucius Malfoy, Ron Weasley, Angst, Unrequited, Eventual Romance, Unresolved Sexual Tension, Post-Canon, HP: EWE, Slow Burn, Blackmail, Pining, Sexual Content, brief mentions of sexual slavery, Co-workers, Idiots in Love, secret feelings",Advertencias no encontradas,https://archiveofourown.org/works/11472648
Lumos,birdsofshore,Harry never expected to spend eighth year listening to Draco Malfoy wanking.,"Explicit, Creator Chose Not To Use Archive Warnings, M/M, Harry Potter - J. K. Rowling, Draco Malfoy/Harry Potter, Harry Potter, Draco Malfoy, Ron Weasley, Hermione Granger, Theodore Nott, Hogwarts Eighth Year, Room-sharing, wanking, Voyeurism, Frottage, Really so much wanking, Intercrural Sex, kissing in corridors, inter-house fraternisation, Wandless Magic, A little angst, some h/c, Magical Injury, Pining, Jealousy, Enemies to Lovers, Desperation, Inexperience, Premature Ejaculation, First Times, the sexual appetites of teenagers, Community: hd_erised",Advertencias no encontradas,https://archiveofourown.org/works/8909155
Don't Fuck With Florists (They'll Fuck You Up),MayMarlow,"Unsatisfied with his post-war life, Harry decides to get to the root of all of his problems when that root was still working at Borgin and Burkes shop in the late 40s. He’s the Master of Death, damn it, he can do what he wants for once in his life.Tom Riddle isn’t particularly happy about working at a small, dingy shop for magical artifacts, no matter how interesting those artifacts are. He’s even less happy when an insufferable stranger sets up the most obnoxious flower shop right across the street.What follows would be a romantic comedy, if it weren’t for politics.","Teen And Up Audiences, No Archive Warnings Apply, M/M, Harry Potter - J. K. Rowling, Harry Potter/Tom Riddle, Tom Riddle, Harry Potter, Mr Borgin (Harry Potter), Time Travel, flower shop, MoD!Harry, 1940s, Don't copy to another site",Advertencias no encontradas,https://archiveofourown.org/works/7769080
Harry Potter and the Shadowed Light,Itshannieee,"After the final battle Harry learns some unsettling truths about himself and those who he trusts the most. Forced to come to terms with the revelations, Harry decides to get even with those who've wronged him and embrace who he his by going back to when it all started.","Mature, No Archive Warnings Apply, M/M, F/M, Harry Potter - J. K. Rowling, Harry Potter/Tom Riddle, Harry Potter/Voldemort, Harry Potter & Neville Longbottom, Sirius Black/Severus Snape, Lucius Malfoy/Narcissa Black Malfoy, Luna Lovegood & Harry Potter, Draco Malfoy & Harry Potter, Harry Potter, Tom Riddle | Voldemort, Kreacher (Harry Potter), Ron Weasley, Ginny Weasley, Molly Weasley, Arthur Weasley, Hermione Granger, Severus Snape, Albus Dumbledore, Death (Harry Potter), Sirius Black, Remus Lupin, Draco Malfoy, Lucius Malfoy, Narcissa Black Malfoy, George Weasley, Fred Weasley, Neville Longbottom, Luna Lovegood, Minerva McGonagall, Filius Flitwick, Hannah Abbott, Susan Bones, Blaise Zabini, Pansy Parkinson, Goblins (Harry Potter), Manipulative Dumbledore, Evil Dumbledore, Weasley Bashing, Dark Harry, Good Death Eaters, Good Voldemort, Time Travel, Master of Death Harry Potter, Ravenclaw, Ravenclaw Harry, Do-Over, Independent Harry, Smart Harry, Master of Death, Soul Bond, Hermione Granger Bashing, BAMF!Harry, Time Travel Fix-It, Dumbledore Bashing, Slow Build, Alternate Universe - Canon Divergence, BAMF!Goblins, Good Tom Riddle, Immortal Harry, The Deathly Hallows, Sane Voldemort, Sane Tom Riddle, Good Malfoy Family, Harry Potter is a Horcrux, It may have taken 190000 words but Toms finally back!, Manipulative Albus Dumbledore, Ron Weasley Bashing, Molly Weasley Bashing, Ginny Weasley Bashing, Slow To Update, Sirius Black Lives, Slow Burn",Advertencias no encontradas,https://archiveofourown.org/works/10404927
Slithering,astolat,"Draco found the nest down in the Manor’s cellars, while he was clearing them out.","Explicit, Creator Chose Not To Use Archive Warnings, Graphic Depictions Of Violence, M/M, Harry Potter - J. K. Rowling, Draco Malfoy/Harry Potter, Draco Malfoy, Harry Potter, Narcissa Black Malfoy, Lucius Malfoy, Hermione Granger, Andromeda Black Tonks, Post-War, aftermath of war, Reconciliation, Courtship, Snakes",Advertencias no encontradas,https://archiveofourown.org/works/7548181
Lily's Boy,SomewheresSword,"Before his third year of Hogwarts has even begun, Harry faces three whole weeks of unsupervised time in Diagon Alley. In that time he takes a trip to Gringotts - and that changes everything.Burdened with the knowledge that Dumbledore has been blocking his family magic, and manipulating far more than he ever thought possible, Harry doesn't know who he can trust; but he knows he can't keep going that way. There's a whole world of lore and politics and history to catch up on, and the more he learns, the more Harry realises his true place in the world, and how much is being kept hidden from him. All the while, Dumbledore's twinkling eyes are constantly watching, and Harry can't let on how much he knows.With help from unexpected places, Harry starts on a journey to end the war, and reshape the wizarding world. With how much he looks like James Potter, people have forgotten one important thing about him - he is Lily Evans' son, and she was one hell of a witch.","Explicit, Underage Sex, F/F, F/M, M/M, Harry Potter - J. K. Rowling, Draco Malfoy/Harry Potter, Remus Lupin/Severus Snape, Neville Longbottom/Ginny Weasley, Sirius Black/Charlie Weasley, Harry Potter, Draco Malfoy, Neville Longbottom, Remus Lupin, Severus Snape, Sirius Black, Susan Bones, AU from PoA, Powerful Harry Potter, Manipulative Albus Dumbledore, Political Harry Potter, Not Molly/Ron/Hermione friendly, Implied/Referenced Child Abuse, Tropes, More tags to follow, Canonical Character Death, Non-Canonical Character Death, Semi sentient Hogwarts, Nonbinary Character, Harry Potter Gets the Love He Deserves",Advertencias no encontradas,https://archiveofourown.org/works/30856244
My Time,DebsTheSlytherinSnapeFan,"Harry Potter finds himself hurtled back through time, landing back to just after World War 2 ended, more accurately, on the doorstep of Grimmauld Place...SLASH, MPREG Orion Black/Harry Potter Death meddles in the Master Of Death's fate once again...he must be awfully bored!","Teen And Up Audiences, No Archive Warnings Apply, F/M, M/M, Harry Potter - J. K. Rowling, Orion Black/Harry Potter, Melania MacMillian Black/Arcturus Black, Hesper Gamp Black/Sirius Black II, Harry Potter, Orion Black, Arcturus Black, Melania Macmillan Black, Sirius Black, Hesper Black, Carina Black, Walburga Black, Dorea Black Potter, Charlus Potter, Fleamont Potter, Cygnus Black, All The Black's, Abraxas Malfoy, Mpreg, Time Travel",Advertencias no encontradas,https://archiveofourown.org/works/27964796
that’s the art of getting by,sarewolf,"“What do you want me to do?” Remus says, tiredly. All he wants is to curl up on his bed. Smoke a pack of cigarettes. Get drunk. He can’t stop looking at Harry. “Remus...” Dumbledore is gentle. Remus hates when he has that tone. Hates that he knows it will hurt. “There is no one else left.” A bitter laugh escapes him. “So you’ll curse the poor thing with a werewolf for a guardian?”","Mature, No Archive Warnings Apply, Gen, M/M, Harry Potter - J. K. Rowling, Sirius Black/Remus Lupin, Remus Lupin, Sirius Black, Harry Potter, Molly Weasley, Minerva McGonagall, Albus Dumbledore, Arthur Weasley, Post-Marauders Era (Harry Potter), Post-First War with Voldemort, Raising Harry Potter, POV Remus Lupin, Remus Lupin Raises Harry Potter, Alternate Universe - Canon Divergence, Depression, Sirius Black Free from Azkaban, Sirius Black and Remus Lupin Raise Harry Potter, Slow Build, Marauders Era (Harry Potter), Implied/Referenced Child Abuse, First War with Voldemort, Alternate Universe, Unhealthy Coping Mechanisms, Angst, Angst with a Happy Ending",Advertencias no encontradas,https://archiveofourown.org/works/27300139
Dangerous,Faith Wood (faithwood),"Being trapped in a dungeon with Malfoy — who's a werewolf, a former Death Eater, and a giant git — is definitely dangerous. Harry has no reason to be excited. None at all.","Explicit, No Archive Warnings Apply, M/M, Harry Potter - J. K. Rowling, Draco Malfoy/Harry Potter, Draco Malfoy, Harry Potter, Knotting, Trapped, Post-Hogwarts, Auror Harry, Werewolves, Werewolf Draco, Scent Kink, Size Kink, Animal Instincts",Advertencias no encontradas,https://archiveofourown.org/works/1704125
Measure Of A Man,inadaze22,"To truly know someone is to differentiate between who they once were, who they are now, and who they're capable of being. Hermione realises the duality of one man as she rectifies what she knows of the past and begins to understand the pieces of who Draco Malfoy is now: a father, a son, and a man.","Explicit, No Archive Warnings Apply, F/M, Harry Potter - J. K. Rowling, Hermione Granger/Draco Malfoy, Hermione Granger, Draco Malfoy, Theodore Nott, Daphne Greengrass, Harry Potter, Padma Patil, Pansy Parkinson, Ginny Weasley, Susan Bones, Parvati Patil, Cho Chang, Blaise Zabini, Mr Granger (Harry Potter), Mrs Granger (Harry Potter), Ron Weasley, Neville Longbottom, Narcissa Black Malfoy, Cormac McLaggen's Uncle Tiberius, Percy Weasley, Scorpius Malfoy, Cormac McLaggen, Kingsley Shacklebolt, Luna Lovegood, Dean Thomas, Andromeda Black Tonks, Post-Hogwarts, Harry Potter Epilogue What Epilogue | EWE, Romance, Slow Burn, Angst, POV Hermione Granger, Healer Hermione Granger, Blood and Injury, BAMF Hermione Granger, Past Hermione Granger/Ron Weasley, Gardens & Gardening, Grief/Mourning, Dementia, Slow Romance, Dysfunctional Family, Cooking, Angst and Romance, Sexual Tension, Unreliable Narrator, Emotional Hurt/Comfort, Emotional Support Cactus, The Ministry of Magic is Corrupt (Harry Potter), Nothing to Something to Everything, Angst with a Happy Ending, Intimacy, Anxiety Attacks, Domestic Sexual Tension, Terminal Illnesses, Implied/Referenced Terrorism, Draco Malfoy & Harry Potter Friendship, DILF Draco Malfoy, Canon-Typical Violence, Explicit Sexual Content, Emotional Sex, Female Friendship, Angst and Hurt/Comfort, Semi-Public Sex, Cottagecore Hermione, Widower Draco, NSFW Art, Unintentional Emotional Neglect, Gardener Hermione, Auror Draco Malfoy, ...or something like it, Slow Build, But fast timeline, Child Scorpius Malfoy, Competent Draco Malfoy",Advertencias no encontradas,https://archiveofourown.org/works/26523892
Draco Malfoy and the Mirror of Ecidyrue,starbrigid,"All it takes is one look in a mirror and an ill-advised attempt to shatter it, before an embittered Draco Malfoy fresh out of Azkaban is sent back into his body on the day he gets his Hogwarts letter.Suddenly, Draco has an unwanted second chance, with a Sorting Hat that doesn't know what to do with him, a certain Muggleborn who won't leave his study table alone, and green eyes he just can't get out of his head. And then there's his new wand, whose choice of him could just mark him as every bit as dark a wizard as his name means he should be.","Teen And Up Audiences, No Archive Warnings Apply, Gen, M/M, Harry Potter - J. K. Rowling, Draco Malfoy/Harry Potter, Draco Malfoy & Severus Snape, Hermione Granger & Draco Malfoy, Draco Malfoy, Harry Potter, Hermione Granger, Ron Weasley, Severus Snape, Lucius Malfoy, Dobby (Harry Potter), Time Travel, Slow Burn, Hermione Granger & Draco Malfoy Friendship, Fluff and Angst, Snarky Draco Malfoy, Abuse, Post-Traumatic Stress Disorder - PTSD, Slightly unreliable narrator, Character Study",Advertencias no encontradas,https://archiveofourown.org/works/23872387
the family evans,dirgewithoutmusic,"What if, when Petunia Dursley found a little boy on her front doorstep, she took him in? Not into the cupboard under the stairs, not into a twisted childhood of tarnished worth and neglect—what if she took him in?Petunia was jealous, selfish and vicious. We will not pretend she wasn’t. She looked at that boy on her doorstep and thought about her Dudders, barely a month older than this boy. She looked at his eyes and her stomach turned over and over. (Severus Snape saved Harry’s life for his eyes. Let’s have Petunia save it despite them).Let’s tell a story where Petunia Dursley found a baby boy on her doorstep and hated his eyes—she hated them. She took him in and fed him and changed him and got him his shots, and she hated his eyes up until the day she looked at the boy and saw her nephew, not her sister’s shadow. When Harry was two and Vernon Dursley bought Dudley a toy car and Harry a fast food meal with a toy with parts he could choke on Petunia packed her things and got a divorce.","Not Rated, Creator Chose Not To Use Archive Warnings, Gen, Harry Potter - J. K. Rowling, Petunia Evans Dursley & Harry Potter, Petunia Evans Dursley & Lily Evans Potter, Petuna Evans Dursley & Remus Lupin, Dudley Dursley & Harry Potter, Petunia Evans Dursley, Harry Potter, Dudley Dursley, What-If, Family",Advertencias no encontradas,https://archiveofourown.org/works/3073562
Evitative,Vichan,"In the summer before his fifth year at Hogwarts, Harry is drawn to a room in Grimmauld Place. Like the Gryffindor he is, he enters the room without fear. The room is a library, and Harry is surprised to find that he’s eager to learn. Then he gets the bad news: he’s been accidentally expelled from Hogwarts, and he needs to be sorted again. Everyone is confident that he’ll go straight back to Gryffindor, but with what he's been learning, Harry’s not so sure.","Teen And Up Audiences, No Archive Warnings Apply, M/M, Harry Potter - J. K. Rowling, Draco Malfoy/Harry Potter, Hermione Granger & Harry Potter, Sirius Black & Harry Potter, Pansy Parkinson & Harry Potter, Draco Malfoy & Harry Potter, Harry Potter & Blaise Zabini, Harry Potter, Draco Malfoy, Hermione Granger, Sirius Black, Pansy Parkinson, Blaise Zabini, Theodore Nott, Daphne Greengrass, Slytherin Harry Potter, Dark Arts, Hogwarts Fifth Year, Dark Harry Potter, Slytherins Being Slytherins, Alternate Hogwarts House Sorting, Re-Sorting, Dark Magic, Slow Burn, Slytherin Pride, Protective Slytherins, Pureblood Politics (Harry Potter), Bigotry & Prejudice",Advertencias no encontradas,https://archiveofourown.org/works/20049589
The Devil's White Knight,orphan_account,"When Harry wakes up in an alternate timeline--a timeline where Voldemort was defeated long before the first war--he discovers everything is different.  His parents, his godfather, his friends--and him.  Harry must deal with the consequences of who he would have been if he had been raised by his parents, and figure out where he stands with his casual hook up, Draco Malfoy.","Explicit, Creator Chose Not To Use Archive Warnings, F/F, M/M, Harry Potter - J. K. Rowling, Draco Malfoy/Harry Potter, Sirius Black/Remus Lupin, Regulus Black/James Potter, Hermione Granger/Viktor Krum, Harry Potter, Draco Malfoy, Sirius Black, Remus Lupin, Regulus Black, James Potter, Nymphadora Tonks, Fleur Delacour, Ron Weasley, Hermione Granger, Teddy Lupin, Alternate Universe- Time Travel, No Voldemort, Alternate Timeline, Everyone lives, past James/Lily - Freeform, Past canon relationships mentions, Enemies to Lovers, Time Travel, PTSD, Post-War Trauma, Unspeakables, Tonks/Fleur - Freeform, Lily/Marlene, Fluff, Friends With Benefits, past George/Harry",Advertencias no encontradas,https://archiveofourown.org/works/6854605
Harry Potter and the Greatest Show,shadowscribe,The last real thing Harry remembers is standing across from Voldemort and watching the killing curse fly at his face.Then he visited a fluffy white limbo that somewhat resembles King Cross Station and instead of choosing to move on or go  back he does something else entirely.And wakes up in his cupboard on the morning of Dudley's eleventh birthday.Because that makes sense.(No. No it doesn't.)But Harry is going to roll with it anyway.,"Mature, Creator Chose Not To Use Archive Warnings, M/M, Harry Potter - J. K. Rowling, Harry Potter/Tom Riddle, Harry Potter/Tom Riddle | Voldemort, Harry Potter, Albus Dumbledore, Tom Riddle | Voldemort, Sirius Black, Remus Lupin, Ron Weasley, Hermione Granger, Severus Snape, Draco Malfoy, Neville Longbottom, Hannah Abbott, Susan Bones, Blaise Zabini, Mandy Brocklehurst, do not copy to another site, Time Travel, Master of Death Harry Potter, Slytherin Harry Potter, Harry living his own life, Harry has no idea what he is doing, but he tries, Moral Ambiguity, Gray Harry, Neutral Harry, Manipulative Albus Dumbledore, but he also tries, it just doesnt work out the way he wants, Slytherins are people too, Work In Progress, irregular updates, Post-Traumatic Stress Disorder - PTSD, Implied/Referenced Child Abuse, Magically Powerful Harry Potter, Paganism, Pagan Festivals, papa snape, Slow Burn, But does it count as slow burn if we are just waiting for Harry to grow up, no beta we die like men, monstrously long fic, seriously, the sort of fic where you sink up to your eyeballs and marinate for a while, it is 120k words before Harry and Tom even talk, this started out as crack but then it got serious, The Author Regrets Nothing",Advertencias no encontradas,https://archiveofourown.org/works/15087428
Full circle,tetsurashian,"(aka 'how to survive endless rebirth with your so-called soulmate')Harry and Tom’s souls are tied together. Which is why they’re in this endless loop of rebirth. At some point, they stopped caring and just started fucking with people.(cracky humor with a hint of seriousness and plot, my specialty)","Not Rated, Creator Chose Not To Use Archive Warnings, M/M, Harry Potter - J. K. Rowling, Harry Potter/Tom Riddle | Voldemort, Harry Potter/Tom Riddle, Harry Potter, Tom Riddle | Voldemort, Alternate Universe, A different kind of soulmate, Master of Death Harry Potter, Reincarnation, Humor, Crack Treated Seriously, Background Relationships",Advertencias no encontradas,https://archiveofourown.org/works/6614155
All the Young Dudes - Sirius's Perspective,Rollercoasterwords,"this is an ATYD fanfic first!!! and a harry potter fanfic only by necessity. this is literally just me rewriting each chapter of atyd but from Sirius's perspective bc i love this story so much and can't get enough of it. all credit for the original work goes to MsKingBean89 and if for some reason you've stumbled upon this without reading the original ATYD first, please go do that!! Read the original here8/24/23PLEASE DON'T POST MY FICS ON GOODREADS/STORYGRAPHS/ETC.PLEASE DON'T REPOST MY WORKS ON ANY OTHER SITES.PLEASE DON'T PRINT OR BIND MY WORKS USING THIRD PARTY SITES THAT MAKE A PROFIT - DO IT BY HAND OR NOT AT ALL. DO NOT SELL BOUND COPIES OF MY FICS.","Mature, Graphic Depictions Of Violence, Major Character Death, No Archive Warnings Apply, M/M, All the Young Dudes - Fandom, Harry Potter - J. K. Rowling, Sirius Black/Remus Lupin, James Potter/Lily Evans Potter, Sirius Black, Remus Lupin, James Potter, Peter Pettigrew, Regulus Black, Lily Evans Potter, Marlene McKinnon, Mary Macdonald, Bellatrix Black Lestrange, Narcissa Black Malfoy, Minerva McGonagall, Albus Dumbledore, Walburga Black, Orion Black, Filius Flitwick, Severus Snape, Horace Slughorn, Poppy Pomfrey, Frank Longbottom, Alice Longbottom, Gideon Prewett (Harry Potter), Fabian Prewett, Arthur Weasley, Caradoc Dearborn, Emmeline Vance, Dorcas Meadowes, Alastor ""Mad-Eye"" Moody, Fleamont Potter, Euphemia Potter, Molly Weasley, Harry Potter, Ron Weasley, Hermione Granger, Fred Weasley, George Weasley, Ginny Weasley, Nymphadora Tonks, Andromeda Black Tonks, Marauders, Marauders Era (Harry Potter), Marauders Friendship (Harry Potter), Slow Burn, Friends to Lovers, fanfic of a fanfic, i would die for mskingbean89, Inspired by All the Young Dudes - MsKingBean89, Angst, Fluff, Fluff and Angst, Requited Love, Canon Compliant, First Kiss, First War with Voldemort, Domestic Violence, Abuse, Mutual Pining, Internalized Homophobia, wolfstar",Advertencias no encontradas,https://archiveofourown.org/works/34577035
Then Comes a Mist and a Weeping Rain,Faith Wood (faithwood),It always rains for Draco Malfoy. Metaphorically. And literally. Ever since he had accidentally Conjured a cloud. A cloud that's ever so cross.,"Explicit, No Archive Warnings Apply, M/M, Harry Potter - J. K. Rowling, Draco Malfoy/Harry Potter, Harry Potter, Draco Malfoy, Gregory Goyle, Millicent Bulstrode, Ernie Macmillan, Hermione Granger, Ron Weasley, Humor, Romance, Hogwarts Eighth Year, HP: EWE, Post - Deathly Hallows, Complete",Advertencias no encontradas,https://archiveofourown.org/works/234222
survival is a talent,ShanaStoryteller,"In the middle of their second year, Draco and Harry discover they're soulmates and do their best to keep it a secret from everyone. Their best isn't perfect. ~“Are you trying to get killed, Potter?” Malfoy drawls, stalking forward. Quick as a serpent himself, he reaches out and grabs the snake just below the head. It thrashes in his grip, but is no longer able to bite anyone. “This is a poisonous snake, and I doubt anyone brought a bezoar with them.” Harry glares. He opens his mouth, and feels the beginning the snake’s language pass his lips, and this isn’t what he wants, what’s the point of insulting Malfoy if he can’t understand him – Malfoy’s eyes widen. He slaps his hand over Harry’s mouth, “Potter, what the hell–”~(Now with a TV Tropes page!)","Teen And Up Audiences, Creator Chose Not To Use Archive Warnings, Gen, M/M, Harry Potter - J. K. Rowling, Draco Malfoy/Harry Potter, Harry Potter, Draco Malfoy, Ron Weasley, Hermione Granger, Blaise Zabini, Millicent Bulstrode, Lucius Malfoy, Narcissa Black Malfoy, Ginny Weasley, Remus Lupin, Sirius Black, Soulmate AU, Indian Harry Potter, Black Hermione Granger, canon? i don't know her, Slow Build, Lucius Malfoy is a bad person but a good father, Parselmouth Harry Potter, Smart Draco Malfoy, I'm offended that's a tag OF COURSE he's smart, sometimes bad things happen, but this fic isn't out to hurt you, Secret Relationship, Slytherins and Gryffindors being reluctant friends, Plotty, suprising lack of focus on soulmates for a soulmate au",Advertencias no encontradas,https://archiveofourown.org/works/12006417
you've got the antidote for me,Kandakicksass,"When Harry Potter unintentionally severs their soulbond before it can fully form, Draco Malfoy resigns himself to a slow death and decides not to burden Harry with a soulmate he's made it very clear he doesn't want.He's never been selfless before, but for Harry, he can try.","Mature, Creator Chose Not To Use Archive Warnings, M/M, Harry Potter - J. K. Rowling, Draco Malfoy/Harry Potter, Hermione Granger/Ron Weasley, Draco Malfoy, Harry Potter, Ron Weasley, Hermione Granger, Penelope Clearwater, Alternate Universe - Soulmates, Soul Bond, Red String of Fate, Heavy Angst, Terminal Illnesses, Major Illness, Angst with a Happy Ending",Advertencias no encontradas,https://archiveofourown.org/works/16138103
The Cadence of Part-time Poets,motswolo,"“They’re… chaos,” Remus said firmly. “And chaos is—”“Rock and roll.”He looked at Sirius sharply, and for once, matched his grin. “Yeah.”“Maybe that’s my excuse then,” Sirius said. “I cause a bit of chaos now, and maybe one day, it’ll turn into rock and roll.”After losing his mother at age eleven, Remus has spent the better part of the last four years bouncing from school to school or else running around London and pretending as though he wasn't the kind of well-bred boy his father brought him up to be. Now, with his chances all run out, Remus is sent to Hawkings Independent School as a last-ditch effort to clean up his act. There he meets the very people who will set up the rest of his life, and is forced to confront the pieces of himself he'd long thought had been lost.(genuinely not apologising for the slow-burn in this fic anymore. You've been warned <3)","Mature, No Archive Warnings Apply, M/M, Harry Potter - J. K. Rowling, Sirius Black/Remus Lupin, James Potter/Lily Evans Potter, Remus Lupin, Sirius Black, James Potter, Peter Pettigrew, Lily Evans Potter, Mary Macdonald, Marlene McKinnon, Minerva McGonagall, Lyall Lupin, Severus Snape, Regulus Black, Dorcas Meadowes, Original Characters, Alternate Universe - Boarding School, Alternate Universe - Rock Band, Band Fic, Marauders Era (Harry Potter), Marauders, wolfstar, jily, POV Remus Lupin, Muggle AU, Recreational Drug Use, Bisexual Remus Lupin, Gay Sirius Black, Lesbian Marlene McKinnon, Hurt/Comfort, Angst with a Happy Ending, Alternate Universe - Muggle, Boarding School, Aromantic Mary Macdonald, Mental Health Issues, Coming of Age, Remus has undiagnosed BPD/Bipolar II Disorder, And experiences intrusive thoughts, But it does not take over the entire fic, Slow Burn, It’s a slow burn. Slow fucking burn. Please take this to heart I mean it, But Remus is taller",Advertencias no encontradas,https://archiveofourown.org/works/30652973
Temptation on the Warfront,alizarincrims0n,"Draco Malfoy is forced into hiding with the Golden Trio and dragged into their search for horcruxes. What ensues is a journey of redemption, unexpected friendships and an unwanted, turbulent romance with Harry Potter. Warnings for swearing, sexual content, and dark themes.","Explicit, No Archive Warnings Apply, M/M, Harry Potter - J. K. Rowling, Draco Malfoy/Harry Potter, Implied Hermione Granger/Ron Weasley - Relationship, Draco Malfoy, Harry Potter, Ron Weasley, Hermione Granger, Remus Lupin, Blaise Zabini, Luna Lovegood, Antonin Dolohov, Horcrux Hunting, Romance, Male Slash, Adventure, Angst and Humor, Deathly Hallows AU, First Time, Sexual Content, Sexual Tension, Snark, Love/Hate, Friendship/Love, POV Switching, Hand Jobs, Unresolved Sexual Tension, Slow Burn, Slash, Alternate Canon",Advertencias no encontradas,https://archiveofourown.org/works/4373594
